id,title,abstract,final_decision
414,BanditWare: A Contextual Bandit-based Framework for Hardware Prediction,"Distributed computing systems are essential for meeting the demands of modern HPC applications, yet transitioning from single-system to distributed environments presents significant challenges. Resource misallocation in shared systems can lead to resource contention, system instability, degraded performance, priority inversion, inefficient utilization, increased latency, and environmental impact. We present BanditWare, an online recommendation system that dynamically selects the most suitable hardware for applications using a contextual multi-armed bandit algorithm. We evaluated BanditWare on two workflow applications: BurnPro3D (a web-based platform for fire science), and a matrix multiplication application. Designed for seamless integration with the National Data Platform (NDP), BanditWare enables users of all experience levels to optimize resource allocation efficiently.",
417,"HPC Digital Twins for Evaluating Scheduling Policies, Incentive Structures and their Impact on Power and Cooling","Schedulers are critical for optimal resource utilization in high-performance computing. Traditional methods to evaluate schedulers are limited to post-deployment analysis, or simulators, which do not model associated infrastructure. In this work, we present the first-of-its-kind integration of scheduling and digital twins in HPC. This enables what-if studies to understand the impact of parameter configurations and scheduling decisions on the physical assets, even before deployment, or regarching changes not easily realizable in production. We (1) provide the first digital twin framework extended with scheduling capabilities, (2) integrate various top-tier HPC systems given their publicly available datasets, (3) implement extensions to integrate external scheduling simulators. Finally, we show how to (4) implement and evaluate incentive structures, as-well-as (5) evaluate machine learning based scheduling, in such novel digital-twin based meta-framework to prototype scheduling. Our work enables what-if scenarios of HPC systems to evaluate sustainability, and the impact on the simulated system.",
419,Improving Supercomputer Usage with Aging Awareness,"Lifetime of electronic devices has a critical impact on their environmental footprint. In addition, the high-demand by AI companies of GPU has reduced tremendously their availability for supercomputing centers. Consequently, improving the duration of CPUs and GPUs is becoming a major issue in High Performance Computing (HPC) domain. This paper investigates the optimization of a machine usage before a fatal failure and the trade-offs with performance. The lifetime of computing devices is strongly connected with the temperature and thus with the running frequency. We investigate the node frequency reconfiguration to optimize HPC usage. We estimate the benefit of a dedicated scheduling algorithm compared with a constant frequency. We show that a correct decision can increase considerably the number of FLOP of a machine with a trade-off in terms of performance. Because aging models are currently inaccurate, we consider different models and discuss the robustness of our algorithms to inaccuracy.",
421,Modeling the Carbon Footprint of HPC: The Top 500 and EasyC,"Climate change is a critical concern for HPC systems, but GHG protocol carbon-emission accounting methodologies are difficult for a single system, and effectively infeasible for a collection of systems. As a result, there is no HPC-wide carbon reporting, and even the largest HPC sites do not do GHG protocol reporting. We assess the carbon footprint of HPC, focusing on the Top 500 systems. The key challenge lies in modeling the carbon footprint with limited data availability. With the disclosed Top500.org data, and using a new tool, EasyC, we were able to model the operational carbon of 391 HPC systems and the embodied carbon of 283 HPC systems. We further show how this coverage can be enhanced by exploiting additional public information. With improved coverage, then interpolation is used to produce the first carbon footprint estimates of the Top 500 HPC systems. They are 1.4 million MT CO2e operational carbon (1 Year) and 1.9 million MT CO2e embodied carbon. We also project how the Top 500's carbon footprint will increase through 2030. A key enabler is the EasyC tool which models carbon footprint with only a few data metrics. We explore availability of data and enhancement, showing that coverage can be increased to 98\% of Top 500 systems for operational and 80.8\% of the systems for embodied emissions.",
422,Session Summary Podcast: Session 29: SSW: Sustainable Supercomputing Workshop,An AI-generated podcast companion article to augment the SSW: Sustainable Supercomputing Workshop Session of the SC Workshops '25NOTE: AI content can contain errors and should be double-checked before use.,
429,"Co-design, deployment and operation of a Modular Data Centre (MDC) with air and direct-liquid cooled supercomputers","The Bristol Centre of Supercomputing (BriCS) has deployed its first HPE modular data centre (MDC), also known as a Performance Optimised Data Centre (POD), in March 2024. This has been a collaborative, co-design project between HPE and the University of Bristol. The MDC has enabled the rapid commencement of operations for the research community for the direct liquid cooled (DLC) Isambard-AI phase 1 (HPE Cray EX2500) and the air-cooled Isambard 3 (HPE Cray XD224), with NVIDIA Grace-Hopper and Grace-Grace superchips, respectively. The second set of MDCs have been deployed for Isambard-AI phase 2 containing 5,280 NVIDIA Grace-Hopper superchips in HPE Cray EX4000 DLC cabinets, together with the management and storage ecosystems. This manuscript outlines key features of the HPE POD MDCs for sustainability, efficiency, flexibility and observability in the era where data centre cooling and power needs are changing with growing demands for AI and HPC. We leverage the community efforts, specifically, the Energy Efficient High Performance Computing Working Group (EE HPC WG) that aims to sustainably support science through committed community action by encouraging the implementation of energy conservation measures and energy efficient design in HPC\&nbsp;[20]. We outline notable advantages of the MDC approach for constraints and requirements that are unique for the Isambard-AI project that led to a co-design approach. We conclude by highlighting the key lessons drawn from this work.",
430,What is RISC-V and why should we care?,"RISC-V is an open Instruction Set Architecture (ISA) standard which enables the open development of CPUs and a shared common software ecosystem. With billions of RISC-V cores already produced, and this is accelerating rapidly, we are seeing a revolution driven by open hardware. Nonetheless, for all the successes that RISC-V has enjoyed, it is yet to become mainstream in HPC. This comes at a time when HPC is facing new challenges, especially around performance and sustainability of operations, and recent advances in RISC-V such as data centre RISC-V hardware make this technology a more realistic proposition with potential to address these. In this survey paper we explore the current state of art of RISC-V for HPC, identifying areas where RISC-V can benefit the HPC community, the level of maturity of the hardware and software ecosystem for HPC , and identify areas where the HPC community can contribute. The outcome is a set of recommendations around where the HPC and RISC-V communities can can come together and focus on high priority action points to help increase adoption.",
432,When Servers Meet Species: A Fab-to-Grave Lens on Computing's Biodiversity Impact,"Biodiversity loss is a critical planetary boundary, yet its connection to computing remains largely unexamined. Prior sustainability efforts in computing have focused on carbon and water, overlooking biodiversity due to the lack of appropriate metrics and modeling frameworks. This paper presents the first end-to-end analysis of biodiversity impact from computing systems. We introduce two new metrics--Embodied Biodiversity Index (EBI) and Operational Biodiversity Index (OBI)--to quantify biodiversity impact across the lifecycle, and present FABRIC, a modeling framework that links computing workloads to biodiversity impacts. Our evaluation highlights the need to consider biodiversity alongside carbon and water in sustainable computing design and optimization. The code is available at https://github.com/TianyaoShi/FABRIC.",
435,GridGreen: Integrating Serverless Computing in HPC Systems for Performance and Sustainability,"We present GridGreen, a scheduling framework that improves the sustainability and performance of scientific workflow execution by integrating serverless computing with traditional on-premise high performance computing (HPC) clusters. GridGreen allocates workflow components across HPC and serverless environments leveraging spatio-temporal variation of carbon intensity and component execution characteristics. It incorporates component-level optimization, speculative pre-warming, I/O-aware data management, and fallback adaptation to jointly minimize carbon footprint and service time under user-defined cost constraints. Our evaluations on large-scale bioinformatics workflows across leadership-class HPC facilities and cloud-based serverless regions demonstrate that GridGreen achieves robust, cost-effective execution while improving carbon efficiency.",
445,A deep dive into sustainable generative AI and HPC systems,"The lecture covers the foundations of sustainable computing, ranging from sand to large-scale systems targeting generative AI and High-Performance Computing (HPC). It provides a deep dive into their building blocks and their associated environmental cost with specific emphasis on RISC-V based systems and practical considerations. Lab activities include pen-and-paper calculations and hands-on experience on the RISC-V Monte Cimone computing cluster.",
474,Sustainability of data center digital twins with reinforcement learning,"The rapid growth of machine learning (ML) has led to an increased demand for computational power, resulting in larger data centers (DCs) and higher energy consumption. To address this issue and reduce carbon emissions, intelligent design and control of DC components such as IT servers, cabinets, HVAC cooling, flexible load shifting, and battery energy storage are essential. However, the complexity of designing and controlling them in tandem presents a significant challenge. While some individual components like CFD-based design and Reinforcement Learning (RL) based HVAC control have been researched, there's a gap in the holistic design and optimization covering all elements simultaneously. To tackle this, we've developed DCRL-Green, a multi-agent RL environment that empowers the ML community to design data centers and research, develop, and refine RL controllers for carbon footprint reduction in DCs. It is a flexible, modular, scalable, and configurable platform that can handle large High Performance Computing (HPC) clusters. Furthermore, in its default setup, DCRL-Green provides a benchmark for evaluating single as well as multi-agent RL algorithms. It easily allows users to subclass the default implementations and design their own control approaches, encouraging community development for sustainable data centers. Open Source Link: https://github.com/HewlettPackard/dc-rl",
477,Clustering Obsolete Computers to Reduce E-Waste,"Personal computers contribute significantly to the growing problem of electronic waste. Every computer, when finished with, must be stored, dumped, recycled, or somehow re-used. Most are dumped, at a huge cost to health and the environment, as their owners succumb to the desire to keep up with the ever-increasing power of new computers. Supercomputers and computer clusters provide more power than ordinary desktop and laptop computers, but they too are subject to rapid obsolescence. The authors have built a cluster of obsolete computers and have found that it easily outperforms a fairly standard new desktop computer. They explore how this approach can help to mitigate e-waste, and discuss the advantages and limitations of using such a system.",
492,SolarCore: Solar energy driven multi-core architecture power management,"The global energy crisis and environmental concerns (e.g. global warming) have driven the IT community into the green computing era. Of clean, renewable energy sources, solar power is the most promising. While efforts have been made to improve the performance-per-watt, conventional architecture power management schemes incur significant solar energy loss since they are largely workload-driven and unaware of the supply-side attributes. Existing solar power harvesting techniques improve the energy utilization but increase the environmental burden and capital investment due to the inclusion of large-scale batteries. Moreover, solar power harvesting itself cannot guarantee high performance without appropriate load adaptation. To this end, we propose SolarCore, a solar energy driven, multi-core architecture power management scheme that combines maximal power provisioning control and workload run-time optimization. Using real-world meteorological data across different geographic sites and seasons, we show that SolarCore is capable of achieving the optimal operation condition (e.g. maximal power point) of solar panels autonomously under various environmental conditions with a high green energy utilization of 82\% on average. We propose efficient heuristics for allocating the time varying solar power across multiple cores and our algorithm can further improve the workload performance by 10.8\% compared with that of round-robin adaptation, and at least 43\% compared with that of conventional fixed-power budget control. This paper makes the first step on maximally reducing the carbon footprint of computing systems through the usage of renewable energy sources. We expect that the novel joint optimization techniques proposed in this paper will contribute to building a truly sustainable, high-performance computing environment.",
501,Design Technologies for Green and Sustainable Computing Systems,"This book provides a comprehensive guide to the design of sustainable and green computing systems (GSC). Coverage includes important breakthroughs in various aspects of GSC, including multi-core architectures, interconnection technology, data centers, high performance computing (HPC), and sensor networks. The authors address the challenges of power efficiency and sustainability in various contexts, including system design, computer architecture, programming languages, compilers and networking.",
510,Heat Management in Integrated Circuits: On-chip and System-level Monitoring and Cooling,"Heat Management in Integrated Circuits focuses on devices and materials that are intimately integrated on-chip (as opposed to in package or on-board) for the purposes of thermal monitoring and thermal management, i.e., cooling. The devices and circuits cover various designs used for the purpose of converting temperature to a digital measurement, heat to electricity, and actively biased circuits that reverse thermal gradients on chips for the purpose of cooling. The book includes fundamental operating principles that touch upon physics of materials that are used to construct sensing, harvesting, and cooling devices, which will be followed by circuit and system design aspects that enable successful functioning of these devices as an on-chip system. Finally, the author discusses the use of these devices and systems for thermal management and the role they play in enabling energy-efficient and sustainable high performance computing systems.",
515,Service Orientation in Holonic and Multi-Agent Manufacturing: Proceedings of SOHOMA 2016,"The book offers an integrated vision on Cloud and HPC, Big Data, Analytics and virtualization in computing-oriented manufacturing, combining information and communication technologies, service-oriented control of holonic architectures as well as enterprise integration solutions based on SOA principles. It is structured in eight parts, each one grouping research and trends in digital manufacturing and service oriented manufacturing control: Cloud and Cyber-Physical Systems for Smart Manufacturing, Reconfigurable and Self-organized Multi-Agent Systems for Industry and Service, Sustainability Issues in Intelligent Manufacturing Systems, Holonic and Multi-agent System Design for Industry and Service, Should Intelligent Manufacturing Systems be Dependable and Safe?, Service-oriented Management and Control of Manufacturing Systems, Engineering and Human Integration in Flexible and Reconfigurable Industrial Systems, Virtualization and Simulation in Computing-oriented Industry and Service.",
516,Advanced Concepts for Renewable Energy Supply of Data Centres,"The rapid increase of cloud computing, high performance computing (HPC) and the vast growth in Internet and Social Media use have aroused the interest in energy consumption and the carbon footprint of Data Centers. Data Centers primarily contain electronic equipment used for data processing (servers), data storage (storage equipment), and communications (network equipment). Collectively, this equipment processes, stores, and transmits digital information and is known as information technology (IT) equipment. Advanced Concepts for Renewable Energy Supply of Data Centres introduces a number of technical solutions for the supply of power and cooling energy into Data Centers with enhanced utilization of renewable energy sources in order to achieve low energy Data Centers. Because of the high energy density nature of these unique infrastructures, it is essential to implement energy efficiency measures and reduce consumption before introducing any renewable energy source. A holistic approach is used with the objective of integrating many technical solutions such as management of the IT (Information Technology) load, efficient electrical supply to the IT systems, Low-Ex air-conditioning systems, interaction with district heating and cooling networks, re-use of heat, free cooling (air, seawater, groundwater), optimal use of heat and cold storage, electrical storage and integration in smart grids. This book is therefore a catalog of advanced technical concepts that could be integrated into Data Centers portfolios in order to increase the overall efficiency and the share of renewable energies in power and cooling supply. Based on dynamic energy models implemented in TRNSYS, some concepts are deeply evaluated through yearly simulations. The results of the simulation are illustrated with Sankey charts, where the energy flows per year within the subsystems of each concept for a selected scenario are shown, and graphs showing the results of parametric analysis. A set of environmental metrics (as the non-renewable primary energy) and financial metrics (CAPEX and OPEX) as well of energy efficiency metrics like the well-known PUE, are described and used to evaluate the different technical concepts.",
525,Sustainable computing and simulation: a literature survey,"Smart technologies are everywhere and the creation of a smart world, from smart devices to smart cities is rapidly growing to potentially improve quality of life. Businesses, governments, and individual users of smart technology expect a level of service and access to data that is achieved through data and supercomputing centers. These centers potentially consume vast amounts of power and their continued growth may be unsustainable and contribute to greenhouse gasses. As smart technologies rely heavily on such computational capabilities their sustainability is pivotal for a smart future. This paper explores the literature to: identify the problems; categorize the challenges as well as possible solutions; explore how simulation and machine learning can improve computational sustainability; and consider the need to conduct trade-off analysis to determine when to apply simulation and machine learning benefits. A taxonomy for sustainable computing is presented for future research.",
