id,title,abstract,lucas_decision,lucas_reason,victor_decision,victor_reason,victor_notes,final_decision,resolution
642,Reducing the Carbon Footprint of Ensemble Weather Forecasting with GPUs,"Climate and Weather Modelling is a highly complex and computationally intensive task which consumes substantial amounts of energy. A desire to improve forecast skill demands further advances in these forecasts, such as increased model fidelity and more comprehensive physical representations of the underlying processes. Another driver towards better forecasts is the goal of uncertainty quantification, with ensembles of forecasts a popular technique. But ensembles place much higher demands on the computational workload as N ensemble members require N times the compute cycles. This leads to an even higher energy demand. This study examines one approach to reducing the energy demands of ensembles by taking advantage of a hardware feature in modern NVIDIA GPUs known as Multi Instance GPU (MIG). This feature allows us to run multiple ensemble members on hardware-isolated GPU slices to maximize efficient use of the GPU resources and subsequently reduce the Carbon Footprint for an Ensemble forecast. We examine both small and large test cases across a range of setups to determine the optimal runtime configuration. Our study shows a 2.S-2.8x reduction in CO2 emissions across all cases which translates into a savings of between 141–171 tonnes of carbon emissions annually per GPU.",exclude,EC1,include,IC2,,exclude,não trata HPC
675,Clover: Toward Sustainable AI with Carbon-Aware Machine Learning Inference Service,"This paper presents a solution to the challenge of mitigating carbon emissions from hosting large-scale machine learning (ML) inference services. ML inference is critical to modern technology products, but it is also a significant contributor to carbon footprint. We introduce, Clover, a carbon-friendly ML inference service runtime system that balances performance, accuracy, and carbon emissions through mixed-quality models and GPU resource partitioning. Our experimental results demonstrate that Clover is effective in substantially reducing carbon emissions while maintaining high accuracy and meeting service level agreement (SLA) targets.",exclude,EC1,include,IC2,,exclude,foca em ML
738,Thermal Performance Characteristic of Single-phase Immersion Cooling on Servers with Optimized Heatsink Design,"The rapid development of artificial intelligence (AI), high performance computing (HPC), communication technology and cloud service has been requesting high performance of servers powered by CPU and GPU in data centers (DCs). In order to meet the commercial and industrial demand, the thermal design power (TDP) of both CPU and GPU has been rising from generation to generation due to constant increase on the core count, cache size and heat flux density. Intel XEON processor has reached 350W and Nvidia's H100 GPU even up to 700W on TDP. This exposes huge challenges on system thermal design with traditional air-cooling solution under current boundary condition of heatsink keep out zone (KOZ), air flow and off-the-shelf heatsink technologies. Therefore, liquid cooling has more attention to address the thermal management challenges from increasing TDP of chips and rack power density in DCs. Among these novel liquid cooling solutions, the singlephase immersion cooling(1-PIC) has emerged due to the special advantages over air-cooling solution in terms of enhanced cooling capability, improved components operation reliability and optimal Power usage effectiveness (PUE).Tencent Cloud (Tencent) has huge amount deployment of servers in DCs globally to respond the demand of all walks of life and consumes huge electricity energy each year. In order to reduce carbon footprint and accomplish green and sustainable DC, one 1-PIC solution prototype with fluorochemical fluid is built to investigate the cooling performance and optimization for application in future. This paper presents both computational fluid dynamics (CFD) analysis and experimental investigation to study the thermal performance characteristic of 1-PIC on servers developed by Tencent on Intel Eagle Stream (EGS) platform. Thermal performance is characterized based on system level to represent the real operation scenarios. Meanwhile, this paper also describes the design of prototype tank, rework on servers for immersion, thermal interface material (TIM) selection and impact on thermal cooling performance from different heatsink design, fluid flowrate and fluid inlet temperature. It is demonstrated that 1-PIC solution could deliver better cooling capability and support higher TDP of CPU than traditional aircooling solution, which could be a promising cooling methodology for high-power server's adoption in DCs.",exclude,EC1,include,IC1,,exclude,só menciona HPC no abstract
742,Low-Cost Green Computing-as-a-Service Testbed for SMEs: Leveraging AI and 6G for Enhanced Productivity,"The exponential growth in computing devices and the emergence of high-computing-dependent applications have led to a significant increase in energy demand. In response, this paper proposes the development of a novel green computing testbed aimed at addressing energy efficiency and sustainability in computing infrastructure. The testbed integrates highly energy-efficient computing infrastructure, a virtual machine-driven on-demand computing ecosystem, and Green AI model development as a service. The state-of-the-art 5G/6G infrastructure and services, such as ultra-low-latency communications, are investigated and identified as suitable for connecting the zero clients (with minimal capabilities) to remote computing and other facilities. Through a comprehensive measurement campaign, the testbed's energy efficiency and sustainability have been evaluated. This research presents a pioneering effort towards achieving sustainability in computing to support Small and Medium-sized Enterprises (SMEs) to enhance productivity with AI, with reduced cost, energy, and minimizing e-waste.",exclude,EC1,include,IC1,,exclude,não trata HPC
769,EcoLife: Carbon-Aware Serverless Function Scheduling for Sustainable Computing,"This work introduces ECOLIFE, the first carbon-aware serverless function scheduler to co-optimize carbon footprint and performance. ECOLIFE builds on the key insight of intelligently exploiting multi-generation hardware to achieve high performance and lower carbon footprint. ECOLIFE designs multiple novel extensions to Particle Swarm Optimization (PSO) in the context of serverless execution environment to achieve high performance while effectively reducing the carbon footprint.",exclude,EC1,include,IC2,,exclude,não trata HPC
778,Advancing Sustainability in Data Centers: Evaluation of Hybrid Air/Liquid Cooling Schemes for IT Payload Using Sea Water,"The growth in cloud computing, Big Data, AI and high-performance computing (HPC) necessitate the deployment of additional data centers (DC's) with high energy demands. The unprecedented increase in the Thermal Design Power (TDP) of the computing chips will require innovative cooling techniques. Furthermore, DC's are increasingly limited in their ability to add powerful GPU servers by power capacity constraints. As cooling energy use accounts for up to 40\% of DC energy consumption, creative cooling solutions are urgently needed to allow deployment of additional servers, enhance sustainability and increase energy efficiency of DC's. The information in this study is provided from Start Campus' Sines facility supported by Alfa Laval for the heat exchanger and CO2 emission calculations. The study evaluates the performance and sustainability impact of various data center cooling strategies including an air-only deployment and a subsequent hybrid air/water cooling solution all utilizing sea water as the cooling source. We evaluate scenarios from 3 MW to 15+1 MW of IT load in 3 MW increments which correspond to the size of heat exchangers used in the Start Campus' modular system design. This study also evaluates the CO2 emissions compared to a conventional chiller system for all the presented scenarios. Results indicate that the effective use of the sea water cooled system combined with liquid cooled systems improve the efficiency of the DC, plays a role in decreasing the CO2 emissions and supports in achieving sustainability goals.",exclude,EC1,include,IC2,,exclude,foco em resfriamento de data centers usando água do mar
787,On Optimizing Hyperparameters for Quantum Neural Networks,"The increasing capabilities of Machine Learning (ML) models go hand in hand with an immense amount of data and computational power required for training. Therefore, training is usually outsourced into HPC facilities, where we have started to experience limits in scaling conventional hardware, as theorized by Moore's law. Despite heavy parallelization and optimization efforts, current state-of-the-art ML models require weeks for training, which is associated with an enormous $CO_2$ footprint. Quantum Computing, and specifically Quantum Machine Learning (QML), can offer significant theoretical speed-ups and enhanced expressive power. However, training QML models requires tuning various hyperparameters, which is a nontrivial task, and suboptimal choices can highly affect the trainability and performance of the models. In this study, we identify main hyperparameters and collect data about the performance of QML models on real-world data. Notably, we build on existing work by also benchmarking different proposed parameter initialization strategies, which should help avoid trainability issues, such as Barren Plateaus. We compare different configurations and provide researchers with performance data and concrete suggestions for hyperparameter selection.",exclude,EC1,include,IC1,,exclude,"foco em hiperparâmetros de QML, HPC como contexto"
836,A Green Cloud-Based Framework for Energy-Efficient Task Scheduling Using Carbon Intensity Data for Heterogeneous Cloud Servers,"Managing modern data centre operations is increasingly complex due to rising workloads and numerous interdependent components. Organizations that still rely on outdated, manual data management methods face a heightened risk of human error and struggle to adapt quickly to shifting demands. This inefficiency leads to excessive energy consumption and higher CO2 emissions in cloud data centres. To address these challenges, integrating advanced automation within Infrastructure as a Service (IaaS) has become essential for IT industries, representing a significant step in the ongoing transformation of cloud computing. For data centres aiming to enhance efficiency and reduce their carbon footprint, intelligent automation provides tangible benefits, including optimized resource allocation, dynamic workload balancing, and lower operational costs. As computing resources remain energy-intensive, the growing demand for AI and ML workloads is expected to surge by 160\% by 2030 (Goldman Sachs). This heightened focus on energy efficiency has driven the need for advanced scheduling systems that reduce carbon emissions and operational expenses. This study introduces a deployable cloud-based framework that incorporates real-time carbon intensity data into energy-intensive task scheduling. By utilizing AWS services, the proposed algorithm dynamically adjusts high-energy workloads based on regional carbon intensity fluctuations, using both historical and real-time analytics. This approach enables cloud service providers and enterprises to minimize environmental impact without sacrificing performance. Designed for seamless integration with existing cloud infrastructures--including AWS, Google Cloud, and Azure--this scalable solution utilizes Kubernetes-based scheduling and containerized workloads for intelligent resource management. By combining automation, real-time analytics, and cloud-native technologies, the framework significantly enhances energy efficiency compared to traditional scheduling methods. Moreover, the proposed system aligns with key United Nations Sustainable Development Goals (SDGs), including climate action (SDG 13), clean energy (SDG 7), sustainable urban development (SDG 11), and infrastructure innovation (SDG 9). By promoting energy-efficient cloud computing, this research supports a more sustainable, cost-effective digital ecosystem that meets the growing demands of high-performance computing and AI-driven workloads.",exclude,EC1,include,IC1,,exclude,"framework de escalonamento em cloud, não HPC"
838,Sustainable-HPC: toward Digital Twin for active management of self-cooled data centers with Renewable Energy Sources and waste heat recovery,"High-performance computing (HPC) data centers are key for advancing research and industry, but their high energy consumption and environmental impact pose critical sustainability challenges. Few HPC centers currently use renewable energy sources, particularly hydrogen-based storage, or integrate waste heat reuse. Recently, Digital Twins (DTs) are proving crucial for advancing sustainable HPC centers, enabling the integration of advanced monitoring and energy optimization with renewable energy sources. They simulate operations, predict maintenance needs, balance workloads, and support renewable integration for enhanced efficiency. The paper first reviews current practices, focusing on the potential of DTs to improve HPC sustainability by dynamically managing resources and optimizing systems, including cooling, power distribution, and load balancing. Then, it illustrates the University of Turin's Sustainable HPC4AI (S-HPC4AI) project, which aims to develop a low impact HPC center to support Artificial Intelligence (AI) research across diverse scientific fields. The facility will feature renewable energy sources, advanced self-cooling, and waste heat recovery, setting a benchmark for energy-efficient, low-carbon HPC infrastructure. Central to the project is the integration of hydrogen and solar energy, with photovoltaic systems providing clean power and hydrogen fuel cells serving as reliable backup sources, reducing reliance on fossil fuels. Waste heat can be transformed into a productive resource for a local automated phenotyping system, reducing energy consumption and environmental impact on the overall. Furthermore, a DT will be developed, integrating BIM with sensors data about performance, resource usage and operating conditions, enabling real-time monitoring and predictive analytics for managing power, cooling, and energy resources. The potential and challenges of the S-HPC4AI model are discussed, suggesting possible solutions.",include,IC1,exclude,EC2,,include,trata especificamente de sustentabilidade em HPC com energia renovável e reuso de calor
851,Sustainable Grid through Distributed Data Centers : Spinning AI Demand for Grid Stabilization and Optimization,"We propose a disruptive paradigm to actively place and schedule TWhrs of parallel AI jobs strategically on the grid, at distributed, grid-aware high performance compute data centers (HPC) capable of using their massive power and energy load to stabilize the grid while reducing grid build-out requirements, maximizing use of renewable energy, and reducing Green House Gas (GHG) emissions. Our approach will enable the creation of new, value adding markets for spinning compute demand, providing market based incentives that will drive the joint optimization of energy and learning.",exclude,EC2,include,IC1,,exclude,foco em estabilização da rede elétrica usando data centers
908,Reducing Digital $\textCO_2$ Footprint in IT Systems Using Temporal Difference Learning for Energy-Aware Scheduling,"Optimizing resource allocation is critical for reducing power consumption and minimizing carbon emissions in high-performance computing environments. This research presents a Deep-Q-Network based Reinforcement Learning DQNAgent to enhance decision-making in CPU/GPU allocation, and workload allocation. For better decision making, the proposed DQNAgent follows an epsilon-greedy policy to balance exploration and exploitation. The agent is trained for 1000 episodes, keeping exploration rate ($\epsilon$) decreases from 1.0 (random action selection) to 0.01 (optimal policy execution), which enables the DQNAgent to make more informed decisions. The DQNAgent is trained on a CPU/GPU workstation. The experimental results clearly indicate that training the agent on a CPU-based system to learn an optimal policy to minimize emissions takes approximately 7 hours and 17 minutes, while utilizing a GPU workstation significantly reduces execution time to less than 2 minutes, thereby accelerating real-time decision-making. Results indicate that the proposed method effectively optimizes energy efficiency, reducing overall power consumption while maintaining computational performance. This research work paves way for leveraging Artificial Intelligence driven reinforcement learning for sustainable and intelligent computing systems.",exclude,EC2,include,IC1,,exclude,"foco em RL para alocação de recursos, não em impactos de HPC"
924,ROA: Energy and Environment Aware Task Scheduling in Cloud Computing,"Efficient task scheduling is a critical concern in cloud computing to ensure optimal resource utilization and sustainable operation. This paper introduces a novel Revolution Optimization Algorithm (ROA) for task scheduling in cloud environments, designed to minimize energy consumption, temperature variation, and carbon emissions. Inspired by socio-political revolutions, ROA incorporates a dynamic strategy that balances exploration and exploitation during the task-to-resource mapping process. The proposed approach is validated using the CloudSim simulator under realistic workload conditions based on the CEA-Curie workload, which reflects high-performance computing scenarios. Performance comparisons were conducted against traditional algorithms such as GA, PSO, and ACO. Experimental results demonstrate that ROA significantly reduces average energy consumption and thermal fluctuations while lowering the environmental impact measured in terms of carbon emissions. The adaptive learning mechanism within ROA enables rapid convergence to optimal solutions, even under fluctuating workloads and heterogeneous cloud resources. Compared to baseline models, ROA achieves an average improvement of 18.7\% in energy efficiency, 16.3\% reduction in temperature variation, and 20.5\% decrease in carbon emissions. These findings suggest that ROA is a promising, eco-efficient solution for sustainable task scheduling in modern cloud computing infrastructures.",exclude,EC1,include,IC2,,exclude,foco em escalonamento em cloud computing
946,Multi-Objective Low-Carbon Scheduling Method for Data Centers Based on Ensemble Reinforcement Learning,"The explosive growth of GPU data centers is driven by the surging demand for machine learning, artificial intelligence, and high-performance computing applications, with the pressure on the power grid intensifying. Meanwhile, as renewable energy becomes more integrated into the grid, the carbon intensity of grid electricity varies at different times. This variability presents an opportunity for data centers to align their workloads with periods of high renewable energy generation and low carbon intensity, thereby reducing their operational carbon emissions. This paper proposes a multi-objective scheduling strategy to minimize carbon emissions and maximize quality of service (QoS) by identifying the Pareto front. The proposed strategy employs an integrated reinforcement learning model to dynamically integrate action strategies for multiple objectives. Results from a case study based on a real-world, large-scale data center illustrate the method's effectiveness. This effectiveness arises from its dual-objective job scheduling strategy, which simultaneously reduces carbon emissions from electricity consumption and maintains a high quality of service in data centers. The method aims to promote the low-carbon operation of data centers, provide decision support, and facilitate coordination between data centers and power systems in real-world applications.",exclude,EC1,include,IC2,,exclude,foco em escalonamento em data centers de GPU
983,Efficient Filtering with BERT Embeddings for Researcher–Topic Affinity Prediction in HPC Pipelines,"Matching researchers to strategic topics is crucial for funding allocation and science policy, yet current solutions often depend on Large Language Models (LLMs), which are prohibitively costly in carbon emissions, especially in High-Performance Computing (HPC) environments. In this work, we formulate researcher-topic affinity prediction as a binary classification task (high vs. non-high) using a real-world dataset of 42,046 Portuguese theses and dissertations defended in Brazil in 2023. We evaluate three families of lightweight filtering mechanisms: (i) lexical baselines, (ii) cosine-similarity thresholding on BERT embeddings, and (iii) lightweight classifiers applied to pooled embeddings. Beyond accuracy, we explicitly account for environmental impact by measuring emissions (kg CO2) using CodeCarbon, which offers a carbon-aware evaluation of model efficiency. Results show that while lexical filters are nearly carbon-free but underperform, similarity thresholding provides modest improvements, and lightweight classifiers deliver the best trade-off in terms of performance. Our best model, Granite embeddings with K-Nearest Neighbors (KNN) and max pooling, achieves an F1-macro of 0.779 with only 0.00227 kg CO2, significantly outperforming baselines while keeping emissions negligible. These findings demonstrate that lightweight classifiers can act as effective pre-filters, routing only high-confidence cases to expensive LLMs, thereby reducing latency, cost, and emissions in HPC pipelines.",exclude,EC1,include,IC2,,exclude,"HPC como ambiente de execução, não objeto de estudo"
1058,Extending the Service Life and Enhancing Efficiency of Panel Boards in High-Demand Environments,"SUMMARYThe demand for electrical power is increasing at an unprecedented rate, driven by the explosive growth of Artificial Intelligence (AI) and the corresponding rise in high-performance computing workloads. In data centers, this surge is pushing the limits of power consumption, requiring robust and scalable infrastructure to support AI-driven operations.Modern data center power distribution architectures are designed to deliver reliable and redundant power from utility sources through switchgear, UPS systems, and distribution units, ultimately reaching server racks via low-voltage panel boards. These panel boards are critical components that manage and distribute power to both compute systems and auxiliary infrastructure such as liquid cooling systems, including chillers and pumps.As server hardware evolves and current densities increase, panel boards must be engineered to remain resilient under elevated thermal and electrical stresses. While liquid cooling improves energy efficiency at the rack level, panel boards must accommodate the increased power demands of both the servers and the cooling systems. This results in higher current flow, which can lead to localized heat losses, accelerated aging, and reduced service life, ultimately impacting the energy efficiency and sustainability of the data center.To address these challenges, we have developed a systematic framework that begins with an analysis of Data Center workloads, environmental conditions, and operating profiles. These inputs are used to identify thermal hotspots and quantify the service life of panel boards under realistic stress conditions. The framework integrates field failure data, mission profile analysis, thermal modeling, and fault tree analysis to pinpoint vulnerabilities and contributing factors.A Design of Experiments (DoE) was created to evaluate thermal stresses under various factors. We investigated the dominant failure mechanisms and identified metrics to monitor degradation. Reliability targets were allocated using a Reliability Block Diagram (RBD) and engineering judgment, which informed the sample size and test duration for an Accelerated Life Test (ALT). A custom test setup was developed to execute the ALT.The DoE and ALT will be implemented, and the resulting data will be used to develop an optimization model aimed at minimizing energy consumption and carbon emissions (CO2e). CO2e, or carbon dioxide equivalent, is a standardized metric used to quantify the total impact of greenhouse gases on climate change. This framework is currently being applied to one panel product, with plans to scale across applicable product lines to enhance reliability and sustainability.The methodology combines several analytical approaches:\textbulletPareto Analysis of Field Failures\textbulletMission Profile Impact Analysis\textbulletThermal Modeling\textbulletQualitative Fault Tree Analysis (FTA)\textbulletDesign of Experiments (DoE)\textbulletAccelerated Life Test (ALT)\textbulletReliability Block Diagram (RBD)Qualitative FTA is used to identify areas of weaknesses and potential factors contributing to the weaknesses. RBD and allocation analysis is used to allocate reliability targets. The data generated from DoE and ALT tests will be utilized to set a baseline and optimize mean life for energy savings and reduced CO2e by determining design solutions aimed at extending the lifetime of the panel boards.This paper outlines a roadmap for advancing reliability engineering practices in the context of electrical distribution equipment, with a particular focus on enhancing the quality, resilience, and sustainability of panel boards used in high-demand environments such as data centers.The proposed framework not only addresses the immediate challenges posed by increasing current densities and thermal stresses but also enables continuous improvement in reliability assessment and design optimization. By integrating mission profile analysis, thermal modeling, and accelerated life testing, the approach provides a quantitative foundation for predicting service life and optimizing performance with respect to energy consumption and carbon emissions (CO2e).",exclude,EC1,include,IC1,,exclude,foco em painéis elétricos de data centers
