key,title,abstract,claude_decision,claude_reason,codex_decision,codex_reason,gemini_decision,gemini_reason
10.1007/978-3-031-12597-3_6,Relative Performance Projection on\&nbsp;Arm Architectures,"With the advent of multi- many-core processors and hardware accelerators, choosing a specific architecture to renew a supercomputer can become very tedious. This decision process should consider the current and future parallel application needs and the design of the target software stack. It should also consider the single-core behavior of the application as it is one of the performance limitations in today's machines. In such a scheme, performance hints on the impact of some hardware and software stack modifications are mandatory to drive this choice. This paper proposes a workflow for performance projection based on execution on an actual processor and the application's behavior. This projection evaluates the performance variation from an existing core of a processor to a hypothetical one to drive the design choice. For this purpose, we characterize the maximum sustainable performance of the target machine and analyze the application using the software stack of the target machine. To validate this approach, we apply it to three applications of the CORAL benchmark suite: LULESH, MiniFE, and Quicksilver, using a single-core of two Arm-based architectures: Marvell ThunderX2 and Arm Neoverse N1. Finally, we follow this validation work with an example of design-space exploration around the SVE vector size, the choice of DDR4 and HBM2, and the software stack choice on A64FX on our applications with a pool of three source architectures: Arm Neoverse N1, Marvell ThunderX2, and Fujitsu A64FX.",,,,,,
10.1007/978-3-031-15922-0_6,Feasibility Studies in\&nbsp;Multi-GPU Target Offloading,"Many of the largest supercomputers are based on heterogeneous architectures with multiple general-purpose graphics processing units (GPGPUs) per compute node. While many APIs for GPU programming are vendor-specific, OpenMP offers a portable alternative. Therefore OpenMP target offloading is advantageous in terms of long-term code sustainability. Further, many applications have already been parallelized with OpenMP. Hence the amount of work needed to port the code to GPUs may be limited. However, the support for the OpenMP 5.x specification is not equally mature across different compilers. Additionally, the multi-GPU support in the OpenMP 5.x specification is limited. We explore what is possible with the Nvidia NVC compiler.We present a case study of solving the Poisson equation on multiple GPGPUs to outline which approaches for multi-target offloading give good results. We find that a task-based multi-GPU implementation leads to better performance than generating deferrable tasks with the [inline-graphic not available: see fulltext] clause.We demonstrate that data transfers and computations can be fully overlapped by using only the subset of the OpenMP specifications, which is supported in the 22.3 release of the Nvidia NVC compiler. For compute nodes with multiple Nvidia A100 or V100, we obtain close to ideal strong scaling when increasing the number of accelerators.",,,,,,
10.1007/978-3-031-21395-3_9,TopKmer: Parallel High Frequency K-mer Counting on\&nbsp;Distributed Memory,"High-throughput DNA sequencing is a crucial technology for genomics research. As genetic data grows to hundreds of gigabytes or even terabytes that traditional devices cannot support, high-performance computing plays an important role. However, current high-performance approaches to extracting k-mers cost a large memory footprint due to the high error rate of short-read sequences. This paper proposes TopKmer, a parallel k-mer counting workflow that indexes high-frequency k-mers within a tiny counting structure. On the 2048 cores of Tianhe-2, we construct k-mer index tables in 18\&nbsp;s for 174 GB fastq files and complete queries in 1\&nbsp;s for 1 billion k-mers, with a scaling efficiency of 95\%. Compared with the state of the art, the counting table's memory usage is reduced by 50\% with no performance degradation.",,,,,,
10.1007/978-3-031-21867-5_1,Energy Efficient Frequency Scaling on\&nbsp;GPUs in\&nbsp;Heterogeneous HPC Systems,"With most major corporations and research institutions having pledged to support sustainability goals for High Performance Computing (HPC), energy efficiency is a critical factor when evaluating heterogeneous HPC systems. However, many popular hardware performance \&amp; energy measurement frameworks, such as LIKWID, and benchmarks, such as the STREAM or the hipBone benchmark, do not or not fully support execution on heterogeneous systems containing AMD or NVIDIA Graphical Processing Units (GPUs), leading to a gap with regards to the understanding the relationship between frequency, performance and energy. We aim at closing this gap by extending the performance measurement framework LIKWID to support both AMD and NVIDIA GPUs. We run the STREAM and hipBone benchmark on AMD and NVIDIA GPUs at different GPU core frequencies. We show that the minimum period between two measurements for our GPU is at least 100ms and that GPUs have a sweet spot with regards to energy consumption at approximately 75\% of their maximum frequency with energy savings up to 30\% at a performance overhead between 0.72\% and 3.12\%.",,,,,,
10.1007/978-3-031-23220-6_25,Analyzing Unikernel Support for\&nbsp;HPC: Experimental Study of\&nbsp;OpenMP,"Unikernels are single-application operating systems designed to run as virtual machines. They are popular in the cloud domain and are considered as a good alternative to containers due to the benefits they provide in terms of performance, low resource consumption, and security. This paper investigates the use of unikernels as a platform for HPC applications. The performance and stability of two unikernel platforms (HermitCore and HermiTux) are experimentally evaluated over standard representative HPC OpenMP benchmarks. We observe that unikernels remarkably reduce the overhead due to system calls, leading to a significant speedup (up to 77\%) in system-bound applications. For applications that are not system-intensive, there are a few performance differences between the unikernel and the vanilla Linux execution. It should be remarked that modern unikernel projects are not yet fully mature, and exhibit stability issues running some OpenMP benchmarks.",,,,,,
10.1007/978-3-031-32041-5_12,"Allegro-Legato: Scalable, Fast, and Robust Neural-Network Quantum Molecular Dynamics via Sharpness-Aware Minimization","Neural-network quantum molecular dynamics (NNQMD) simulations based on machine learning are revolutionizing atomistic simulations of materials by providing quantum-mechanical accuracy but orders-of-magnitude faster, illustrated by ACM Gordon Bell prize (2020) and finalist (2021). State-of-the-art (SOTA) NNQMD model founded on group theory featuring rotational equivariance and local descriptors has provided much higher accuracy and speed than those models, thus named Allegro (meaning fast). On massively parallel supercomputers, however, it suffers a fidelity-scaling problem, where growing number of unphysical predictions of interatomic forces prohibits simulations involving larger numbers of atoms for longer times. Here, we solve this problem by combining the Allegro model with sharpness aware minimization (SAM) for enhancing the robustness of model through improved smoothness of the loss landscape. The resulting Allegro-Legato (meaning fast and ``smooth'') model was shown to elongate the time-to-failure tfailure, without sacrificing computational speed or accuracy. Specifically, Allegro-Legato exhibits much weaker dependence of time-to-failure on the problem size, tfailure\proptoN-0.14 (N is the number of atoms) compared to the SOTA Allegro model (tfailure\proptoN-0.29), i.e., systematically delayed time-to-failure, thus allowing much larger and longer NNQMD simulations without failure. The model also exhibits excellent computational scalability and GPU acceleration on the Polaris supercomputer at Argonne Leadership Computing Facility. Such scalable, accurate, fast and robust NNQMD models will likely find broad applications in NNQMD simulations on emerging exaflop/s computers, with a specific example of accounting for nuclear quantum effects in the dynamics of ammonia to lay a foundation of the green ammonia technology for sustainability.",,,,,,
10.1007/978-3-031-32041-5_7,Steering Customized AI Architectures for HPC Scientific Applications,"AI hardware technologies have revolutionized computational science. While they have been mostly used to accelerate deep learning training and inference models for machine learning, HPC scientific applications do not seem to directly benefit from these specific hardware features unless AI-based components are introduced into their simulation workflows, for instance, as a replacement of their numerical solvers. This paper proposes to take another direction in an attempt to democratize customized AI architectures for HPC scientific computing. The main idea consists in demonstrating how legacy applications can leverage these AI engines after a necessary algorithmic redesign. It is critical that the resulting software implementations map onto the underlying memory-austere hardware architectures to extract the expected performance. To facilitate this process, we promote the matricization technique for restructuring codes (1) by exploiting data sparsity via algebraic compression and (2) by expressing the critical computational phases in terms of tile low-rank matrix-vector multiplications (TLR-MVM) and batch matrix-matrix multiplications (batch GEMM). Algebraic compression enables to reduce memory footprint and to fit into small local cache/memory, while batch execution ensures high occupancy. We highlight how we can steer the Graphcore AI-focused Wafer-on-Wafer Intelligence Processing Units (IPUs) to deliver high performance for both operations. We conduct a performance benchmarking campaign of these two matrix operations that account for most of the elapsed times of four real applications in computational astronomy, seismic imaging, wireless communications, and climate/weather predictions. We report bandwidth and execution rates with speedup factors up to 150X/14X/25X/40X, respectively, on IPUs compared to other systems.",,,,,,
10.1007/978-3-031-36021-3_53,Long-Term Prediction of\&nbsp;Cloud Resource Usage in\&nbsp;High-Performance Computing,"Cloud computing is gaining popularity in the context of high-performance computing applications. Among other things, the use of cloud resources allows advanced simulations to be carried out in circumstances where local computing resources are limited. At the same time, the use of cloud computing may increase costs. This article presents an original approach which uses anomaly detection and machine learning for predicting cloud resource usage in the long term, making it possible to optimize resource usage (through an appropriate resource reservation plan) and reduce its cost. The solution developed uses the XGBoost model for long-term prediction of cloud resource consumption, which is especially important when these resources are used for advanced long-term simulations. Experiments conducted using real-life data from a production system demonstrate that the use of the XGBoost model developed for prediction allowed the quality of predictions to be improved (by 16\%) compared to statistical methods. Moreover, techniques using the XGBoost model were able to predict chaotic changes in resource consumption as opposed to statistical methods.",,,,,,
10.1007/978-3-031-39698-4_2,perun: Benchmarking Energy Consumption of\&nbsp;High-Performance Computing Applications,"Looking closely at the Top500 list of high-performance computers (HPC) in the world, it becomes clear that computing power is not the only number that has been growing in the last three decades. The amount of power required to operate such massive computing machines has been steadily increasing, earning HPC users a higher than usual carbon footprint. While the problem is well known in academia, the exact energy requirements of hardware, software and how to optimize it are hard to quantify. To tackle this issue, we need tools to understand the software and its relationship with power consumption in today's high performance computers. With that in mind, we present perun, a Python package and command line interface to measure energy consumption based on hardware performance counters and selected physical measurement sensors. This enables accurate energy measurements on various scales of computing, from a single laptop to an MPI-distributed HPC application. We include an analysis of the discrepancies between these sensor readings and hardware performance counters, with particular focus on the power draw of the usually overlooked non-compute components such as memory. One of our major insights is their significant share of the total energy consumption. We have equally analyzed the runtime and energy overhead perun\&nbsp;generates when monitoring common HPC applications, and found it to be minimal. Finally, an analysis on the accuracy of different measuring methodologies when applied at large scales is presented.",,,,,,
10.1007/978-3-031-39698-4_47,An Efficient Parallel Adaptive GMG Solver for\&nbsp;Large-Scale Stokes Problems,"We study the performance and scalability of the adaptive geometric multigrid method with the recently developed restricted additive Vanka (RAV) smoother for the finite element solution of large-scale Stokes problems on distributed-memory clusters. A comparison of the RAV smoother and the classical multiplicative and additive Vanka smoothers is presented. We present three cache policies for the smoother operators that provide a balance between cached and on-the-fly computation and discuss their memory footprint and computational cost. It is shown that the restricted additive smoother with the most efficient cache policy has the smallest memory footprint and is computationally cheaper in comparison with the other smoothers and can, therefore, be used for large-scale problems even when the available main memory is constrained. We discuss the parallelization aspects of the smoother operators and show that the RAV operator can be replicated exactly in parallel with a very small communication overhead. We present strong and weak scaling of the GMG solver for 2D and 3D examples with up to roughly 540 million degrees of freedom on up to 2048 MPI processes. The GMG solver with the restricted additive smoother is shown to achieve rapid convergence rates and scale well in both the strong and weak scaling studies, making it an attractive choice for the solution of large-scale Stokes problems on HPC systems.",,,,,,
10.1007/978-3-031-55673-9_2,Open-Source SpMV Multiplication Hardware Accelerator for\&nbsp;FPGA-Based HPC Systems,"The Sparse Matrix Vector (SpMV) multiplication kernel is a key component of many high-performance computing applications, but at the same time one of the most challenging to optimize, primarily due to its low flop-per-byte ratio and irregular memory accesses. As such, modern FPGAs, combined with High-Bandwidth Memory (HBM) modules, are much better-suited to the memory-bound nature of this kernel, compared to general purpose CPUs. Current FPGA-based approaches on SpMV support only single-precision floating point arithmetic. Moreover, they target for highly-streamed implementations that, although enhance performance, facilitate custom matrix storage formats, which (i) can increase the matrix footprint up to 3x, and (ii) drop the burden of input matrix transformation to developers. Towards widening the spectrum of FPGA-supported floating point formats for sparse algebra, this paper presents a first set of effective optimizations for double-precision SpMV hardware kernels using High-Level Synthesis (HLS) tools on HBM-equipped FPGAs. Results show that our work can provide 52.4x on average better performance compared to state-of-practice SpMV double-precision multiplication implementations on FPGAs for applications with volatile matrices, and up to 5.1x better performance-per-Watt compared to server-class CPUs.",,,,,,
10.1007/978-3-031-66146-4_3,The Power of\&nbsp;Training: How Different Neural Network Setups Influence the\&nbsp;Energy Demand,"This work offers a heuristic evaluation of the effects of variations in machine learning training regimes and learning paradigms on the energy consumption of computing, especially HPC hardware with a life-cycle aware perspective. While increasing data availability and innovation in high-performance hardware fuels the training of sophisticated models, it also fosters the fading perception of energy consumption and carbon emission. Therefore, the goal of this work is to raise awareness about the energy impact of general training parameters and processes, from learning rate over batch size to knowledge transfer. Multiple setups with different hyperparameter configurations are evaluated on three different hardware systems. Among many results, we have found out that even with the same model and hardware to reach the same accuracy, improperly set training hyperparameters consume up to 5 times the energy of the optimal setup. We also extensively examined the energy-saving benefits of learning paradigms including recycling knowledge through pretraining and sharing knowledge through multitask training.",,,,,,
10.1007/978-3-031-66146-4_4,An Efficient Multi Quantile Regression Network with\&nbsp;Ad Hoc Prevention of\&nbsp;Quantile Crossing,"This article presents the Sorting Composite Quantile Regression Neural Network (SCQRNN), an advanced quantile regression model designed to prevent quantile crossing and enhance computational efficiency. Integrating ad hoc sorting in training, the SCQRNN ensures non-intersecting quantiles, boosting model reliability and interpretability. We demonstrate that the SCQRNN not only prevents quantile crossing and reduces computational complexity but also achieves faster convergence than traditional models. This advancement meets the requirements of high-performance computing for sustainable, accurate computation. In organic computing, the SCQRNN enhances self-aware systems with predictive uncertainties, enriching applications across finance, meteorology, climate science, and engineering.",,,,,,
10.1007/978-3-031-66146-4_6,From Structured to\&nbsp;Unstructured: A\&nbsp;Comparative Analysis of\&nbsp;Computer Vision and\&nbsp;Graph Models in\&nbsp;Solving Mesh-Based PDEs,"This article investigates the application of computer vision and graph-based models in solving mesh-based partial differential equations within high-performance computing environments. Focusing on structured, graded structured, and unstructured meshes, the study compares the performance and computational efficiency of three computer vision-based models against three graph-based models across three datasets. The research aims to identify the most suitable models for different mesh topographies, particularly highlighting the exploration of graded meshes, a less studied area. Results demonstrate that computer vision-based models, notably U-Net, outperform the graph models in prediction performance and efficiency in two (structured and graded) out of three mesh topographies. The study also reveals the unexpected effectiveness of computer vision-based models in handling unstructured meshes, suggesting a potential shift in methodological approaches for data-driven partial differential equation learning. The article underscores deep learning as a viable and potentially sustainable way to enhance traditional high-performance computing methods, advocating for informed model selection based on the topography of the mesh.",,,,,,
10.1007/978-3-031-69583-4_5,Minimizing I/O in\&nbsp;Toom-Cook Algorithms,"Long integer multiplication is a fundamental kernel in many linear algebra and cryptography computations. Toom-Cook-k (k\inN) are a family of fast long integer multiplication algorithms frequently used in many applications, particularly for small k sizes (2, 3, and 4). Previous studies focus on minimizing Toom-Cook's arithmetic cost, sometimes at the expense of asymptotically higher communication costs and memory footprint. For many high-performance computing applications, the bottleneck is communication rather than arithmetic. We propose new versions of Toom-Cook-k algorithms that simultaneously reduce their arithmetic cost, communication cost, and memory footprint. We obtain these results by utilizing the alternative basis and Toom-Graph techniques. The arithmetic costs of the new algorithms are only slightly higher than that of the best previous solution, while the communication costs and memory footprint are significantly reduced and proved to be optimal.",,,,,,
10.1007/978-3-031-69766-1_9,Optimizing Communication for\&nbsp;Latency Sensitive HPC Applications on\&nbsp;up to\&nbsp;48 FPGAs Using ACCL,"Most FPGA boards in the HPC domain are well-suited for parallel scaling because of the direct integration of versatile and high-throughput network ports. However, the utilization of their network capabilities\&nbsp;is often challenging and error-prone because the whole network stack\&nbsp;and communication patterns have to be implemented and managed on the FPGAs. Also, this approach conceptually involves a trade-off between\&nbsp;the performance potential of improved communication and the impact\&nbsp;of resource consumption for communication infrastructure, since\&nbsp;the utilized resources on the FPGAs could otherwise be used\&nbsp;for computations. In this work, we investigate this trade-off, firstly,\&nbsp;by using synthetic benchmarks to evaluate the different configuration options of the communication framework ACCL and their impact\&nbsp;on communication latency and throughput. Finally, we use our findings\&nbsp;to implement a shallow water simulation whose scalability heavily depends on low-latency communication. With a suitable configuration of ACCL, good scaling behavior can be shown to all 48 FPGAs installed in\&nbsp;the system. Overall, the results show that the availability of inter-FPGA communication frameworks as well as the configurability of framework\&nbsp;and network stack are crucial to achieve the best application performance with low latency communication.",,,,,,
10.1007/978-3-031-73716-9_11,A Novel Mixed Precision Defect Correction Solver for\&nbsp;Heterogeneous Computing,"Modern HPC architecture combines the use of CPUs with accelerators to obtained better performance and shorter time-to-solution. But in most cases, accelerators such as GPUs or NPUs benefit from low precision computations, to obtain faster arithmetic, and also reduce the overall memory footprint by reducing the total amount of data to be stored. In order to effectively offload as much of the computational workload to low-precision devices, it is important to use an algorithm that would ensure convergence of the final results to a level of accuracy that is acceptable by the user. Mixed-precision algorithms allow for recovery of high precision arithmetic while offloading most of the computation to low-precision arithmetic. Most available mixed-precision algorithm are based on iterative refinement approaches in which a correction is computed and added to the latest estimate of the solution in an iterative manner. In this study, we propose a defect correction approach that allows for recovery of high precision accuracy for linear and non-linear iterative solvers. The results are tested using an in-house solver, and then implemented within the OpenFOAM solver using the Ginkgo library. Current results are showing up to 40\% acceleration while recovering accuracy close to double precision computation.",,,,,,
10.1007/978-3-031-73716-9_26,Impact of Computational Load Balance and Power Capping on Energy Efficiency in HPC Centers,"In this paper we investigate the effect of power capping on the runtime and energy-to-solution for two benchmarks and seven HPC codes. We also study the impact of computational load balance on energy efficiency and we can show that power capping and improving computational load balance are independent paths that lead to increased energy efficiency in HPC centers. For some applications, we observe a minimum in energy-to-solution for a certain power cap. We estimate up to which efficiency of the computing center running compute nodes at lower power caps actually saves energy. In order to estimate how much energy can be saved by optimizing computational load balance, we present a statistical approach that uses the distribution of load balance obtained from performance analyses of many codes.",,,,,,
10.1007/978-3-031-74430-3_10,Run Your HPC Jobs in\&nbsp;Eco-Mode: Revealing the\&nbsp;Potential of\&nbsp;User-Assisted Power Capping in\&nbsp;Supercomputing Systems,"The energy consumption of an exascale High-Performance Computing (HPC) supercomputer rivals that of tens of thousands of people in terms of electricity demand. Given the substantial energy footprint of exascale HPC systems and the increasing strain on power grids due to climate-related events, electricity providers are starting to impose power caps during critical periods to their users. In this context, it becomes crucial to implement strategies that manage the power consumption of supercomputers while simultaneously ensuring their uninterrupted operation.This paper investigates the proposition that HPC users can willingly sacrifice some processing performance to contribute to a global energy-saving initiative. With the objective of offering an efficient energy-saving strategy by involving users, we introduce a user-assisted supercomputer power-capping methodology. In this approach, users have the option to voluntarily permit their applications to operate in a power-capped mode, denoted as 'Eco-Mode', as necessary.Leveraging HPC simulations, along with energy traces and application metadata derived from a recent Top500 HPC supercomputer, we conducted an experimental campaign to quantify the effects of Eco-Mode on energy conservation and on user experience. Specifically, our study aimed to demonstrate that, with a sufficient number of users choosing Eco-Mode, the supercomputer maintains good performances within the specified power cap. Furthermore, we sought to determine the optimal conditions regarding the number of users embracing Eco-Mode and the magnitude of power capping required for applications (i.e., the intensity of Eco-Mode).Our findings indicate that decreasing the speed of jobs can decrease significantly the number of jobs that must be killed. Moreover, as the adoption of Eco-Mode increases among users, the likelihood of every job to be killed also decreases.",,,,,,
10.1007/978-3-031-78093-6_21,Sustainability and\&nbsp;High Performance Computing,"The use of High Performance Computing (HPC) has become a fundamental aspect of scientific research, industrial innovation and complex data analytics. However, the growing demand for faster and more powerful computational capabilities has resulted in a significant increase in energy consumption and associated environmental impacts. This paper aims to investigate the relationship between sustainability and HPC, with the objective of identifying methodologies that can make HPC systems more environmentally friendly without compromising their performance.",,,,,,
10.1007/978-3-031-78459-0_32,The Energy Efficiency Research of\&nbsp;Code for\&nbsp;Numerical Simulation of\&nbsp;Plasma Physics Problems,"Last ten years the top performance of the fastest high-performance systems in the world increased more than thirty times. The energy efficiency of high-performance calculations became the most important because of the growth of carbon footprint from supercomputers. In this work, we will show the energy efficiency research of our plasma physics code. We propose the supercomputer's carbon footprint value for typical plasma physics problem calculations as well as the method for evaluation of the power rate of the HPC code. We also provide information about the difference in energy efficiency between the AVX2 and AVX512 autovectorized programs.",,,,,,
