paper_id,provider,decision,reason
104,anthropic,exclude,EC2
105,anthropic,exclude,EC2
106,anthropic,exclude,EC2
107,anthropic,include,IC1
108,anthropic,exclude,EC1
109,anthropic,exclude,EC2
110,anthropic,include,IC1|IC2
111,anthropic,exclude,EC1
112,anthropic,exclude,EC2
113,anthropic,include,IC1
114,anthropic,exclude,EC1
115,anthropic,exclude,EC1
116,anthropic,exclude,EC2
117,anthropic,exclude,EC1
118,anthropic,exclude,EC1
119,anthropic,exclude,EC1
120,anthropic,exclude,EC1
121,anthropic,exclude,EC1
122,anthropic,include,doubt
123,anthropic,exclude,EC1
124,anthropic,exclude,EC1
125,anthropic,exclude,EC1
126,anthropic,exclude,EC1
127,anthropic,exclude,EC1
128,anthropic,include,IC1
129,anthropic,exclude,EC1
130,anthropic,include,doubt
131,anthropic,exclude,EC1
132,anthropic,include,doubt
133,anthropic,exclude,EC1
134,anthropic,exclude,EC1
135,anthropic,exclude,EC1
136,anthropic,exclude,EC1
137,anthropic,exclude,EC1
138,anthropic,exclude,EC1
139,anthropic,exclude,EC1
140,anthropic,include,IC1
141,anthropic,exclude,EC1
142,anthropic,exclude,EC1
143,anthropic,include,doubt
144,anthropic,include,doubt
145,anthropic,include,doubt
146,anthropic,exclude,EC1
147,anthropic,include,doubt
148,anthropic,include,doubt
149,anthropic,include,doubt
150,anthropic,include,doubt
151,anthropic,include,doubt
152,anthropic,include,doubt
153,anthropic,include,IC1
154,anthropic,exclude,EC1
155,anthropic,exclude,EC1
156,anthropic,exclude,EC1
157,anthropic,exclude,EC1
158,anthropic,exclude,EC1
159,anthropic,exclude,EC1
160,anthropic,exclude,EC1
161,anthropic,exclude,EC1
162,anthropic,exclude,EC1
163,anthropic,include,doubt
164,anthropic,exclude,EC1
165,anthropic,exclude,EC1
166,anthropic,include,doubt
167,anthropic,include,doubt
168,anthropic,exclude,EC1
169,anthropic,exclude,EC2
170,anthropic,exclude,EC1
171,anthropic,exclude,EC1
172,anthropic,exclude,EC1
173,anthropic,exclude,EC1
174,anthropic,include,IC1
175,anthropic,exclude,EC2
176,anthropic,include,IC1
177,anthropic,exclude,EC1
178,anthropic,exclude,EC2
179,anthropic,exclude,EC1
180,anthropic,include,IC1
181,anthropic,exclude,EC1
182,anthropic,include,IC1
183,anthropic,include,IC1
184,anthropic,exclude,EC2
185,anthropic,exclude,EC1
186,anthropic,exclude,EC1
187,anthropic,include,IC1|IC2
188,anthropic,include,IC1
189,anthropic,include,IC1
190,anthropic,exclude,EC1
191,anthropic,exclude,EC1
192,anthropic,exclude,EC1
193,anthropic,exclude,EC1
194,anthropic,include,IC1
195,anthropic,exclude,EC1
196,anthropic,include,IC1
197,anthropic,exclude,EC1
198,anthropic,exclude,EC2
199,anthropic,include,IC1
200,anthropic,exclude,EC1
201,anthropic,include,IC1
202,anthropic,exclude,EC1
203,anthropic,exclude,EC1
204,anthropic,include,IC1|IC2
205,anthropic,exclude,EC1
206,anthropic,exclude,EC2
207,anthropic,exclude,EC1
208,anthropic,exclude,EC1
209,anthropic,exclude,EC1
210,anthropic,exclude,EC1
211,anthropic,exclude,EC1
212,anthropic,exclude,EC2
213,anthropic,exclude,EC1
214,anthropic,include,IC1
215,anthropic,exclude,EC1
216,anthropic,exclude,EC1
217,anthropic,exclude,EC1
218,anthropic,exclude,EC1
219,anthropic,exclude,EC1
220,anthropic,exclude,EC1
221,anthropic,exclude,EC1
222,anthropic,exclude,EC1
223,anthropic,include,IC1
224,anthropic,exclude,EC2
225,anthropic,exclude,EC1
226,anthropic,exclude,EC1
227,anthropic,exclude,EC2
228,anthropic,exclude,EC2
229,anthropic,exclude,EC1
230,anthropic,include,doubt
231,anthropic,include,IC1
232,anthropic,exclude,EC1
233,anthropic,exclude,EC1
234,anthropic,include,IC1
235,anthropic,include,IC1
236,anthropic,exclude,EC1
237,anthropic,include,IC1|IC2
238,anthropic,include,IC1
239,anthropic,include,IC1|IC2
240,anthropic,include,IC1|IC2
241,anthropic,include,IC1
242,anthropic,exclude,EC1
243,anthropic,exclude,EC1
244,anthropic,exclude,EC1
245,anthropic,exclude,EC1
246,anthropic,exclude,EC1
247,anthropic,exclude,EC1
248,anthropic,exclude,EC2
249,anthropic,include,doubt
250,anthropic,exclude,EC1
251,anthropic,exclude,EC1
252,anthropic,exclude,EC1
253,anthropic,exclude,EC1
254,anthropic,exclude,EC1
255,anthropic,exclude,EC2
256,anthropic,exclude,EC1
257,anthropic,exclude,EC1
258,anthropic,exclude,EC1
259,anthropic,exclude,EC2
260,anthropic,exclude,EC1
261,anthropic,include,IC1
262,anthropic,exclude,EC1
263,anthropic,include,doubt
264,anthropic,exclude,EC1
265,anthropic,exclude,EC1
266,anthropic,exclude,EC1
267,anthropic,exclude,EC1
268,anthropic,exclude,EC1
269,anthropic,include,IC1
270,anthropic,exclude,EC1
271,anthropic,include,doubt
272,anthropic,exclude,EC1
273,anthropic,include,IC1
274,anthropic,exclude,EC1
275,anthropic,exclude,EC2
276,anthropic,exclude,EC1
277,anthropic,exclude,EC1
278,anthropic,include,IC1
279,anthropic,exclude,EC2
280,anthropic,exclude,EC1
281,anthropic,exclude,EC1
282,anthropic,exclude,EC1
283,anthropic,exclude,EC1
284,anthropic,exclude,EC1
285,anthropic,exclude,EC1
286,anthropic,exclude,EC1
287,anthropic,exclude,EC1
288,anthropic,exclude,EC1
289,anthropic,exclude,EC1
290,anthropic,exclude,EC2
291,anthropic,exclude,EC1
292,anthropic,exclude,EC2
293,anthropic,include,IC1
294,anthropic,exclude,EC1
295,anthropic,exclude,EC1
296,anthropic,include,IC1|IC2
297,anthropic,exclude,EC1
298,anthropic,exclude,EC1
299,anthropic,exclude,EC1
300,anthropic,include,IC1|IC2
301,anthropic,exclude,EC1
302,anthropic,exclude,EC1
303,anthropic,exclude,EC1
304,anthropic,exclude,EC1
305,anthropic,exclude,EC1
306,anthropic,exclude,EC1
307,anthropic,exclude,EC1
308,anthropic,exclude,EC1
309,anthropic,include,doubt
310,anthropic,exclude,EC1
311,anthropic,include,doubt
312,anthropic,exclude,EC1
313,anthropic,exclude,EC2
314,anthropic,exclude,EC1
315,anthropic,include,doubt
316,anthropic,exclude,EC1
317,anthropic,exclude,EC1
318,anthropic,exclude,EC1
319,anthropic,include,doubt
320,anthropic,exclude,EC1
321,anthropic,exclude,EC1
322,anthropic,exclude,EC1
323,anthropic,exclude,EC1
324,anthropic,exclude,EC1
325,anthropic,exclude,EC2
326,anthropic,include,IC1
327,anthropic,exclude,EC1
328,anthropic,include,doubt
329,anthropic,exclude,EC1
330,anthropic,exclude,EC1
331,anthropic,exclude,EC1
332,anthropic,exclude,EC1
333,anthropic,exclude,EC1
334,anthropic,exclude,EC1
335,anthropic,exclude,EC1
336,anthropic,exclude,EC2
337,anthropic,exclude,EC1
338,anthropic,exclude,EC1
339,anthropic,exclude,EC1
340,anthropic,exclude,EC1
341,anthropic,exclude,EC1
342,anthropic,exclude,EC1
343,anthropic,exclude,EC1
344,anthropic,exclude,EC1
345,anthropic,exclude,EC1
346,anthropic,exclude,EC1
347,anthropic,exclude,EC1
348,anthropic,exclude,EC1
349,anthropic,exclude,EC2
350,anthropic,exclude,EC1
351,anthropic,exclude,EC1
352,anthropic,exclude,EC1
353,anthropic,exclude,EC1
354,anthropic,exclude,EC1
355,anthropic,exclude,EC1
356,anthropic,include,IC2
357,anthropic,include,IC1|IC2
358,anthropic,include,IC1
359,anthropic,include,IC1
360,anthropic,exclude,EC1
361,anthropic,exclude,EC1
362,anthropic,exclude,EC1
363,anthropic,exclude,EC1
364,anthropic,exclude,EC1
365,anthropic,include,IC2
366,anthropic,exclude,EC2
367,anthropic,include,IC1
368,anthropic,include,IC1
369,anthropic,exclude,EC2
370,anthropic,include,doubt
371,anthropic,include,IC1
372,anthropic,exclude,EC1
373,anthropic,exclude,EC1
374,anthropic,exclude,EC1
375,anthropic,exclude,EC1
376,anthropic,exclude,EC1
377,anthropic,exclude,EC1
378,anthropic,exclude,EC2
379,anthropic,exclude,EC1
380,anthropic,exclude,EC1
381,anthropic,exclude,EC1
382,anthropic,exclude,EC1
383,anthropic,exclude,EC1
384,anthropic,include,IC1
385,anthropic,exclude,EC1
386,anthropic,exclude,EC1
387,anthropic,exclude,EC1
388,anthropic,exclude,EC1
389,anthropic,include,IC2
390,anthropic,exclude,EC1
391,anthropic,exclude,EC1
392,anthropic,exclude,EC1
393,anthropic,exclude,EC1
394,anthropic,include,IC1
395,anthropic,include,IC1
396,anthropic,include,IC1
397,anthropic,exclude,EC1
398,anthropic,exclude,EC1
399,anthropic,exclude,EC1
400,anthropic,exclude,EC1
401,anthropic,exclude,EC1
402,anthropic,exclude,EC1
403,anthropic,exclude,EC2
404,anthropic,include,IC1|IC2
405,anthropic,exclude,EC1
406,anthropic,include,IC1
407,anthropic,include,IC1
408,anthropic,include,IC1
409,anthropic,exclude,EC1
410,anthropic,exclude,EC1
411,anthropic,exclude,EC1
412,anthropic,include,IC1
413,anthropic,include,IC1
414,anthropic,include,IC1
415,anthropic,exclude,EC1
416,anthropic,exclude,EC2
417,anthropic,include,IC1
418,anthropic,include,IC1|IC2
419,anthropic,include,IC1
420,anthropic,exclude,EC1
421,anthropic,include,IC1|IC2
422,anthropic,include,doubt
423,anthropic,exclude,EC1
424,anthropic,exclude,EC1
425,anthropic,exclude,EC1
426,anthropic,include,doubt
427,anthropic,exclude,EC1
428,anthropic,exclude,EC2
429,anthropic,include,IC1|IC2
430,anthropic,include,doubt
431,anthropic,exclude,EC1
432,anthropic,include,IC1
433,anthropic,exclude,EC1
434,anthropic,exclude,EC1
435,anthropic,include,IC1|IC2
436,anthropic,exclude,EC1
437,anthropic,exclude,EC2
438,anthropic,include,IC1
439,anthropic,include,IC1
440,anthropic,exclude,EC2
441,anthropic,include,IC1
442,anthropic,include,IC1|IC2
443,anthropic,include,IC1
444,anthropic,include,IC1|IC2
445,anthropic,include,IC1|IC2
446,anthropic,exclude,EC1
447,anthropic,exclude,EC1
448,anthropic,exclude,EC2
449,anthropic,exclude,EC1
450,anthropic,include,IC1
451,anthropic,exclude,EC1
452,anthropic,exclude,EC1
453,anthropic,exclude,EC1
454,anthropic,include,IC1|doubt
455,anthropic,exclude,EC1
456,anthropic,exclude,EC2
457,anthropic,exclude,EC2
458,anthropic,exclude,EC1
459,anthropic,exclude,EC1
460,anthropic,exclude,EC1
461,anthropic,exclude,EC1
462,anthropic,exclude,EC1
463,anthropic,exclude,EC1
464,anthropic,exclude,EC1
465,anthropic,exclude,EC2
466,anthropic,include,IC1
467,anthropic,exclude,EC1
468,anthropic,exclude,EC1
469,anthropic,exclude,EC1
470,anthropic,include,IC1|IC2
471,anthropic,include,IC1
472,anthropic,exclude,EC1
473,anthropic,include,IC1
474,anthropic,include,IC1
475,anthropic,exclude,EC1
476,anthropic,exclude,EC1
477,anthropic,include,IC1
478,anthropic,include,IC1
479,anthropic,exclude,EC1
480,anthropic,exclude,EC1
481,anthropic,exclude,EC1
482,anthropic,exclude,EC1
483,anthropic,exclude,EC2
484,anthropic,exclude,EC1
485,anthropic,exclude,EC1
486,anthropic,exclude,EC1
487,anthropic,exclude,EC1
488,anthropic,exclude,EC1
489,anthropic,exclude,EC1
490,anthropic,exclude,EC1
491,anthropic,exclude,EC1
492,anthropic,include,IC1
493,anthropic,exclude,EC2
494,anthropic,exclude,EC1
495,anthropic,exclude,EC1
496,anthropic,exclude,EC1
497,anthropic,exclude,EC1
498,anthropic,exclude,EC1
499,anthropic,exclude,EC1
500,anthropic,exclude,EC1
501,anthropic,include,IC1
502,anthropic,exclude,EC2
503,anthropic,exclude,EC1
504,anthropic,exclude,EC1
505,anthropic,exclude,EC1
506,anthropic,exclude,EC2
507,anthropic,exclude,EC1
508,anthropic,exclude,EC1
509,anthropic,exclude,EC1
510,anthropic,include,doubt
511,anthropic,exclude,EC1
512,anthropic,exclude,EC1
513,anthropic,exclude,EC1
514,anthropic,exclude,EC1
515,anthropic,include,doubt
516,anthropic,include,IC1|IC2
517,anthropic,exclude,EC1
518,anthropic,include,doubt
519,anthropic,exclude,EC1
520,anthropic,exclude,EC1
521,anthropic,exclude,EC1
522,anthropic,exclude,EC1
523,anthropic,exclude,EC1
524,anthropic,exclude,EC1
525,anthropic,include,IC1|IC2
526,anthropic,exclude,EC1
527,anthropic,exclude,EC1
528,anthropic,exclude,EC2
529,anthropic,include,IC1
530,anthropic,exclude,EC1
531,anthropic,exclude,EC1
532,anthropic,exclude,EC1
533,anthropic,exclude,EC1
534,anthropic,exclude,EC1
535,anthropic,exclude,EC1
536,anthropic,exclude,EC1
537,anthropic,exclude,EC1
538,anthropic,exclude,EC1
539,anthropic,exclude,EC1
540,anthropic,exclude,EC1
541,anthropic,exclude,EC1
542,anthropic,exclude,EC1
543,anthropic,exclude,EC2
544,anthropic,exclude,EC1
545,anthropic,exclude,EC1
546,anthropic,exclude,EC1
547,anthropic,exclude,EC1
548,anthropic,include,IC1
549,anthropic,exclude,EC1
550,anthropic,exclude,EC1
551,anthropic,include,IC2
552,anthropic,exclude,EC1
553,anthropic,include,IC1|IC2
554,anthropic,exclude,EC1
555,anthropic,exclude,EC1
556,anthropic,exclude,EC1
557,anthropic,exclude,EC1
558,anthropic,exclude,EC1
559,anthropic,include,IC1
560,anthropic,exclude,EC1
561,anthropic,exclude,EC1
562,anthropic,exclude,EC2
563,anthropic,exclude,EC1
564,anthropic,exclude,EC1
565,anthropic,exclude,EC1
566,anthropic,exclude,EC1
567,anthropic,exclude,EC1
568,anthropic,exclude,EC1
569,anthropic,exclude,EC1
570,anthropic,exclude,EC1
571,anthropic,exclude,EC1
572,anthropic,exclude,EC2
573,anthropic,exclude,EC1
574,anthropic,exclude,EC1
575,anthropic,include,IC1
576,anthropic,exclude,EC1
577,anthropic,exclude,EC1
578,anthropic,exclude,EC1
579,anthropic,exclude,EC1
580,anthropic,exclude,EC1
581,anthropic,exclude,EC1
582,anthropic,include,doubt
583,anthropic,include,IC1
584,anthropic,exclude,EC1
585,anthropic,exclude,EC1
586,anthropic,exclude,EC1
587,anthropic,exclude,EC1
588,anthropic,include,IC1
589,anthropic,exclude,EC1
590,anthropic,include,IC1
591,anthropic,exclude,EC1
592,anthropic,exclude,EC1
593,anthropic,exclude,EC1
594,anthropic,exclude,EC1
595,anthropic,exclude,EC1
596,anthropic,exclude,EC2
597,anthropic,exclude,EC1
598,anthropic,exclude,EC2
599,anthropic,include,IC1
600,anthropic,exclude,EC2
601,anthropic,exclude,EC1
602,anthropic,exclude,EC1
603,anthropic,exclude,EC1
604,anthropic,exclude,EC1
605,anthropic,exclude,EC1
606,anthropic,exclude,EC1
607,anthropic,exclude,EC1
608,anthropic,exclude,EC1
609,anthropic,exclude,EC1
610,anthropic,exclude,EC2
611,anthropic,exclude,EC1
612,anthropic,include,IC1
613,anthropic,exclude,EC1
614,anthropic,exclude,EC1
615,anthropic,exclude,EC1
616,anthropic,include,IC1
617,anthropic,exclude,EC1
618,anthropic,exclude,EC2
619,anthropic,exclude,EC1
620,anthropic,include,doubt
621,anthropic,exclude,EC1
622,anthropic,exclude,EC1
623,anthropic,exclude,EC1
624,anthropic,exclude,EC1
625,anthropic,exclude,EC1
626,anthropic,exclude,EC1
627,anthropic,exclude,EC1
628,anthropic,exclude,EC1
629,anthropic,exclude,EC1
630,anthropic,exclude,EC1
631,anthropic,exclude,EC1
632,anthropic,exclude,EC1
633,anthropic,exclude,EC1
634,anthropic,exclude,EC1
635,anthropic,exclude,EC1
636,anthropic,include,IC1
637,anthropic,exclude,EC2
638,anthropic,exclude,EC1
639,anthropic,exclude,EC1
640,anthropic,include,IC1
641,anthropic,exclude,EC1
642,anthropic,include,IC1|IC2
643,anthropic,exclude,EC1
644,anthropic,exclude,EC1
645,anthropic,include,IC1
646,anthropic,include,doubt
647,anthropic,exclude,EC1
648,anthropic,exclude,EC1
649,anthropic,include,IC1|doubt
650,anthropic,exclude,EC1
651,anthropic,exclude,EC1
652,anthropic,exclude,EC1
653,anthropic,exclude,EC2
654,anthropic,exclude,EC1
655,anthropic,exclude,EC1
656,anthropic,exclude,EC1
657,anthropic,exclude,EC2
658,anthropic,exclude,EC1
659,anthropic,exclude,EC2
660,anthropic,include,IC1
661,anthropic,exclude,EC1
662,anthropic,exclude,EC1
663,anthropic,exclude,EC1
664,anthropic,exclude,EC1
665,anthropic,exclude,EC1
666,anthropic,exclude,EC1
667,anthropic,exclude,EC1
668,anthropic,exclude,EC1
669,anthropic,include,IC1
670,anthropic,exclude,EC1
671,anthropic,exclude,EC1
672,anthropic,exclude,EC1
673,anthropic,exclude,EC1
674,anthropic,exclude,EC1
675,anthropic,include,IC1
676,anthropic,exclude,EC1
677,anthropic,exclude,EC1
678,anthropic,exclude,EC2
679,anthropic,exclude,EC1
680,anthropic,include,IC1
681,anthropic,include,IC1
682,anthropic,exclude,EC1
683,anthropic,exclude,EC1
684,anthropic,exclude,EC1
685,anthropic,exclude,EC1
686,anthropic,exclude,EC1
687,anthropic,exclude,EC2
688,anthropic,include,IC1|IC2
689,anthropic,exclude,EC2
690,anthropic,exclude,EC1
691,anthropic,exclude,EC2
692,anthropic,include,doubt
693,anthropic,exclude,EC1
694,anthropic,exclude,EC1
695,anthropic,exclude,EC2
696,anthropic,exclude,EC2
697,anthropic,include,doubt
698,anthropic,include,IC1
699,anthropic,exclude,EC2
700,anthropic,include,IC1
701,anthropic,exclude,EC2
702,anthropic,exclude,EC1
703,anthropic,exclude,EC1
704,anthropic,include,IC1|IC2
705,anthropic,exclude,EC1
706,anthropic,exclude,EC1
707,anthropic,exclude,EC1
708,anthropic,exclude,EC1
709,anthropic,exclude,EC1
710,anthropic,exclude,EC1
711,anthropic,include,IC1
712,anthropic,exclude,EC1
713,anthropic,exclude,EC1
714,anthropic,exclude,EC1
715,anthropic,exclude,EC1
716,anthropic,exclude,EC1
717,anthropic,exclude,EC1
718,anthropic,exclude,EC2
719,anthropic,exclude,EC1
720,anthropic,exclude,EC1
721,anthropic,exclude,EC1
722,anthropic,exclude,EC1
723,anthropic,exclude,EC1
724,anthropic,exclude,EC1
725,anthropic,include,IC1
726,anthropic,exclude,EC1
727,anthropic,exclude,EC1
728,anthropic,include,IC1
729,anthropic,include,IC1
730,anthropic,exclude,EC1
731,anthropic,include,doubt
732,anthropic,include,doubt
733,anthropic,exclude,EC1
734,anthropic,include,IC1|IC2
735,anthropic,exclude,EC2
736,anthropic,include,IC1
737,anthropic,exclude,EC2
738,anthropic,include,IC1
739,anthropic,exclude,EC1
740,anthropic,exclude,EC1
741,anthropic,include,IC1
742,anthropic,include,IC1
743,anthropic,exclude,EC2
744,anthropic,exclude,EC1
745,anthropic,exclude,EC1
746,anthropic,exclude,EC1
747,anthropic,exclude,EC1
748,anthropic,exclude,EC1
749,anthropic,exclude,EC1
750,anthropic,exclude,EC1
751,anthropic,exclude,EC1
752,anthropic,exclude,EC1
753,anthropic,exclude,EC1
754,anthropic,exclude,EC1
755,anthropic,exclude,EC1
756,anthropic,exclude,EC1
757,anthropic,exclude,EC1
758,anthropic,exclude,EC1
759,anthropic,exclude,EC2
760,anthropic,exclude,EC1
761,anthropic,exclude,EC2
762,anthropic,exclude,EC1
763,anthropic,exclude,EC1
764,anthropic,exclude,EC1
765,anthropic,exclude,EC1
766,anthropic,exclude,EC1
767,anthropic,exclude,EC1
768,anthropic,exclude,EC1
769,anthropic,include,IC1|IC2
770,anthropic,exclude,EC1
771,anthropic,exclude,EC1
772,anthropic,exclude,EC1
773,anthropic,exclude,EC1
774,anthropic,exclude,EC1
775,anthropic,exclude,EC1
776,anthropic,include,IC1
777,anthropic,exclude,EC1
778,anthropic,include,IC1|IC2
779,anthropic,exclude,EC1
780,anthropic,exclude,EC1
781,anthropic,exclude,EC1
782,anthropic,include,IC1
783,anthropic,exclude,EC1
784,anthropic,exclude,EC1
785,anthropic,exclude,EC1
786,anthropic,exclude,EC1
787,anthropic,include,IC1
788,anthropic,exclude,EC1
789,anthropic,include,doubt
790,anthropic,exclude,EC1
791,anthropic,exclude,EC1
792,anthropic,exclude,EC1
793,anthropic,exclude,EC1
794,anthropic,exclude,EC1
795,anthropic,include,IC1
796,anthropic,exclude,EC1
797,anthropic,exclude,EC1
798,anthropic,exclude,EC1
799,anthropic,exclude,EC1
800,anthropic,exclude,EC1
801,anthropic,exclude,EC1
802,anthropic,exclude,EC1
803,anthropic,exclude,EC1
804,anthropic,exclude,EC1
805,anthropic,exclude,EC1
806,anthropic,exclude,EC1
807,anthropic,exclude,EC1
808,anthropic,exclude,EC1
809,anthropic,exclude,EC1
810,anthropic,exclude,EC1
811,anthropic,exclude,EC1
812,anthropic,exclude,EC1
813,anthropic,exclude,EC1
814,anthropic,exclude,EC1
815,anthropic,exclude,EC1
816,anthropic,exclude,EC1
817,anthropic,exclude,EC1
818,anthropic,exclude,EC2
819,anthropic,exclude,EC1
820,anthropic,include,IC1|IC2
821,anthropic,include,IC1
822,anthropic,exclude,EC1
823,anthropic,exclude,EC1
824,anthropic,exclude,EC1
825,anthropic,exclude,EC1
826,anthropic,exclude,EC1
827,anthropic,exclude,EC2
828,anthropic,exclude,EC1
829,anthropic,exclude,EC1
830,anthropic,exclude,EC1
831,anthropic,exclude,EC1
832,anthropic,include,doubt
833,anthropic,exclude,EC1
834,anthropic,exclude,EC1
835,anthropic,include,IC1|IC2
836,anthropic,include,IC1
837,anthropic,exclude,EC1
838,anthropic,include,IC1|IC2
839,anthropic,exclude,EC1
840,anthropic,exclude,EC1
841,anthropic,exclude,EC1
842,anthropic,exclude,EC1
843,anthropic,exclude,EC1
844,anthropic,exclude,EC2
845,anthropic,include,doubt
846,anthropic,include,IC1
847,anthropic,exclude,EC1
848,anthropic,include,IC1
849,anthropic,exclude,EC1
850,anthropic,include,IC1|IC2
851,anthropic,include,IC1
852,anthropic,exclude,EC1
853,anthropic,exclude,EC1
854,anthropic,exclude,EC1
855,anthropic,exclude,EC2
856,anthropic,include,IC1
857,anthropic,exclude,EC1
858,anthropic,exclude,EC1
859,anthropic,exclude,EC1
860,anthropic,exclude,EC1
861,anthropic,exclude,EC1
862,anthropic,exclude,EC1
863,anthropic,exclude,EC1
864,anthropic,exclude,EC1
866,anthropic,exclude,EC1
867,anthropic,exclude,EC1
868,anthropic,exclude,EC1
869,anthropic,exclude,EC1
870,anthropic,exclude,EC1
871,anthropic,exclude,EC1
872,anthropic,exclude,EC1
873,anthropic,include,doubt
874,anthropic,exclude,EC1
875,anthropic,exclude,EC1
876,anthropic,include,doubt
877,anthropic,exclude,EC1
878,anthropic,include,doubt
879,anthropic,exclude,EC1
880,anthropic,exclude,EC1
881,anthropic,exclude,EC1
882,anthropic,include,IC1
883,anthropic,exclude,EC1
884,anthropic,exclude,EC1
885,anthropic,exclude,EC1
886,anthropic,exclude,EC1
887,anthropic,exclude,EC1
888,anthropic,exclude,EC1
889,anthropic,exclude,EC1
890,anthropic,exclude,EC1
891,anthropic,exclude,EC1
892,anthropic,exclude,EC1
893,anthropic,exclude,EC1
894,anthropic,exclude,EC2
895,anthropic,exclude,EC1
896,anthropic,exclude,EC1
897,anthropic,include,IC1|IC2
898,anthropic,include,IC1
899,anthropic,exclude,EC1
900,anthropic,exclude,EC1
901,anthropic,exclude,EC1
902,anthropic,exclude,EC1
903,anthropic,exclude,EC1
904,anthropic,exclude,EC2
905,anthropic,include,doubt
906,anthropic,exclude,EC2
907,anthropic,exclude,EC1
908,anthropic,include,IC1|IC2
909,anthropic,exclude,EC1
910,anthropic,exclude,EC1
911,anthropic,exclude,EC1
912,anthropic,exclude,EC1
913,anthropic,exclude,EC1
914,anthropic,exclude,EC1
915,anthropic,exclude,EC1
916,anthropic,exclude,EC1
917,anthropic,exclude,EC1
918,anthropic,exclude,EC1
919,anthropic,include,IC1
920,anthropic,exclude,EC1
921,anthropic,exclude,EC1
922,anthropic,exclude,EC2
923,anthropic,exclude,EC1
924,anthropic,include,IC1|IC2
925,anthropic,exclude,EC1
926,anthropic,exclude,EC1
927,anthropic,include,IC1
928,anthropic,include,IC1|IC2
929,anthropic,include,IC1|IC2
930,anthropic,exclude,EC1
931,anthropic,exclude,EC1
932,anthropic,exclude,EC1
933,anthropic,exclude,EC1
934,anthropic,exclude,EC1
935,anthropic,include,IC1
936,anthropic,exclude,EC1
937,anthropic,exclude,EC1
938,anthropic,exclude,EC1
939,anthropic,exclude,EC1
940,anthropic,include,IC1
941,anthropic,exclude,EC1
942,anthropic,include,IC1
943,anthropic,exclude,EC2
944,anthropic,include,IC1|IC2
945,anthropic,exclude,EC1
946,anthropic,include,IC1|IC2
947,anthropic,exclude,EC1
948,anthropic,exclude,EC1
949,anthropic,exclude,EC1
950,anthropic,exclude,EC1
